event,gender,time_distance,athlete,location,date,,,,,,,,,
10000m,F,31:27.58,Raisa Sadreydinova (URS),"Odessa, Soviet Union[3]",1983-09-07,,,,,,,,,
10000m,F,31:13.78,Olga Bondarenko (URS),"Kiev, Soviet Union[3]",1984-06-24,,,,,,,,,
10000m,F,30:59.42,Ingrid Kristiansen (NOR),"Oslo, Norway[3]",1985-07-27,,,,,,,,,
10000m,F,30:13.74,Ingrid Kristiansen (NOR),"Oslo, Norway[3]",1986-07-05,,,,,,,,,
10000m,F,29:31.78,Wang Junxia (CHN),"Beijing, PR China[3]",1993-09-08,,,,,,,,,
10000m,F,29:17.45,Almaz Ayana (ETH),"Rio de Janeiro, Brazil[7]",2016-08-12,,,,,,,,,
10000m,F,29:06.82,Sifan Hassan (NED),"Hengelo, Netherlands[8]",2021-06-06,,,,,,,,,
10000m,F,29:01.03,Letesenbet Gidey (ETH),"Hengelo, Netherlands",2021-06-08,,,,,,,,,
marathon,F,5:40:xx,Marie-Louise Ledru,Tour de Paris Marathon,"September 29, 1918",,,,,,,,,
marathon,F,3:40:22,Violet Piercy,London [nb 7],"October 3, 1926",,,,,,,,,
marathon,F,3:37:07,Merry Lepper,"Culver City, United States","December 16, 1963[nb 8]",,,,,,,,,
marathon,F,3:27:45,Dale Greig,Ryde,"May 23, 1964",,,,,,,,,
marathon,F,3:19:33,Mildred Sampson,"Auckland, New Zealand","July 21, 1964[nb 9]",,,,,,,,,
marathon,F,3:14:23,Maureen Wilton,"Toronto, Canada","May 6, 1967",,,,,,,,,
marathon,F,3:07:27,Anni Pede-Erdkamp,"Waldniel, West Germany","September 16, 1967",,,,,,,,,
marathon,F,3:02:53,Caroline Walker,"Seaside, OR","February 28, 1970",,,,,,,,,
marathon,F,3:01:42,Elizabeth Bonner,"Philadelphia, United States","May 9, 1971",,,,,,,,,
marathon,F,2:55:22,Elizabeth Bonner,New York City Marathon,"September 19, 1971",,,,,,,,,
marathon,F,2:49:40,Cheryl Bridges,"Culver City, United States","December 5, 1971",,,,,,,,,
marathon,F,2:46:36,Michiko Gorman,"Culver City, United States","December 2, 1973",,,,,,,,,
marathon,F,2:46:24,Chantal Langlacé,"Neuf-Brisach, France","October 27, 1974",,,,,,,,,
marathon,F,2:43:54,Jacqueline Hansen,"Culver City, United States","December 1, 1974",,,,,,,,,
marathon,F,2:42:24,Liane Winter,Boston Marathon,"April 21, 1975",,,,,,,,,
marathon,F,2:40:16,Christa Vahlensieck,Dülmen,"May 3, 1975",,,,,,,,,
marathon,F,2:38:19,Jacqueline Hansen,"Nike OTC Marathon, Eugene, United States","October 12, 1975",,,,,,,,,
marathon,F,2:35:15,Chantal Langlacé,"Oiartzun, Spain","May 1, 1977",,,,,,,,,
marathon,F,2:34:48,Christa Vahlensieck,Berlin Marathon,"September 10, 1977",,,,,,,,,
marathon,F,2:32:30,Grete Waitz,New York City Marathon,"October 22, 1978",,,,,,,,,
marathon,F,2:27:33,Grete Waitz,New York City Marathon,"October 21, 1979",,,,,,,,,
marathon,F,2:31:23,Joan Benoit,"Auckland, New Zealand","February 3, 1980",,,,,,,,,
marathon,F,2:30:57,Patti Catalano,"Montreal, Canada","September 6, 1980",,,,,,,,,
marathon,F,2:25:41,Grete Waitz,New York City Marathon,"October 26, 1980",,,,,,,,,
marathon,F,2:30:27,Joyce Smith,"Tokyo, Japan","November 16, 1980",,,,,,,,,
marathon,F,2:29:57,Joyce Smith,London Marathon,"March 29, 1981",,,,,,,,,
marathon,F,2:25:28,Allison Roe,New York City Marathon,"October 25, 1981",,,,,,,,,
marathon,F,2:29:02,Charlotte Teske,"Miami, United States","January 16, 1982",,,,,,,,,
marathon,F,2:26:12,Joan Benoit,"Nike OTC Marathon, Eugene, United States","September 12, 1982",,,,,,,,,
marathon,F,2:25:29,Grete Waitz,London Marathon,"April 17, 1983",,,,,,,,,
marathon,F,2:22:43,Joan Benoit,Boston Marathon,"April 18, 1983",,,,,,,,,
marathon,F,2:24:26,Ingrid Kristiansen,London Marathon,"May 13, 1984",,,,,,,,,
marathon,F,2:21:06,Ingrid Kristiansen,London Marathon,"April 21, 1985",,,,,,,,,
marathon,F,2:20:47,Tegla Loroupe,Rotterdam Marathon,"April 19, 1998",,,,,,,,,
marathon,F,2:20:43,Tegla Loroupe,Berlin Marathon,"September 26, 1999",,,,,,,,,
marathon,F,2:19:46,Naoko Takahashi,Berlin Marathon,"September 30, 2001",,,,,,,,,
marathon,F,2:18:47,Catherine Ndereba,Chicago Marathon,"October 7, 2001",,,,,,,,,
marathon,F,2:17:18,Paula Radcliffe,Chicago Marathon,"October 13, 2002",,,,,,,,,
marathon,F,2:15:25 Mx,Paula Radcliffe,London Marathon,"April 13, 2003",,,,,,,,,
marathon,F,2:17:42 Wo,Paula Radcliffe,London Marathon,"April 17, 2005",,,,,,,,,
marathon,F,2:17:01 Wo,Mary Jepkosgei Keitany,London Marathon,"April 23, 2017",,,,,,,,,
marathon,F,2:14:04 Mx,Brigid Kosgei,Chicago Marathon,"October 13, 2019",,,,,,,,,
marathon,F,2:11:53 Mx,Tigst Assefa,Berlin Marathon,"September 24, 2023",,,,,,,,,
marathon,F,2:16:16 Wo,Peres Jepchirchir,London Marathon,"April 21, 2024",,,,,,,,,
3000m steeplechase,F,10:34.5,Sara Heeb (USA),Walnut,1996-04-20,,,,,,,,,
3000m steeplechase,F,10:30.2,Grace Padilla (USA),Los Angeles,1996-05-17,,,,,,,,,
3000m steeplechase,F,10:23.47,Courtney Meldrum (USA),Atlanta,1996-06-23,,,,,,,,,
3000m steeplechase,F,10:19.6,Karen Harvey (CAN),Walnut,1998-04-18,,,,,,,,,
3000m steeplechase,F,9:55.28,Daniela Petrescu (ROM),Bucharest,1998-06-21,,,,,,,,,
3000m steeplechase,F,9:48.88,Yelena Motalova (RUS),Tula,1999-07-31,,,,,,,,,
3000m steeplechase,F,9:43.64,Cristina Casandra (ROM),Bucharest,2000-08-07,,,,,,,,,
3000m steeplechase,F,9:40.20,Cristina Casandra (ROM),Reims,2000-08-30,,,,,,,,,
3000m steeplechase,F,9:25.31,Justyna Bąk (POL),Nice,2001-07-09,,,,,,,,,
3000m steeplechase,F,9:22.29,Justyna Bąk (POL),Milan,2002-06-05,,,,,,,,,
3000m steeplechase,F,9:21.72,Alesya Turova (BLR),Ostrava,2002-06-12,,,,,,,,,
3000m steeplechase,F,9:16.51,Alesya Turova (BLR),Gdańsk,2002-07-27,,,,,,,,,
3000m steeplechase,F,9:08.33,Gulnara Samitova (RUS),Tula,2003-08-10,,,,,,,,,
3000m steeplechase,F,9:01.59,Gulnara Samitova (RUS),Iraklio,2004-07-04,,,,,,,,,
3000m steeplechase,F,8:58.81,Gulnara Samitova-Galkina (RUS),Beijing,2008-08-17,,,,,,,,,
3000m steeplechase,F,8:52.78,Ruth Jebet (BHR),Paris,2016-08-27,,,,,,,,,
3000m steeplechase,F,8:44.32,Beatrice Chepkoech (KEN),Monaco,2018-07-20,,,,,,,,,
100m hurdles,F,12.3,Annelie Ehrhardt,na,1973-07-22,,,,,,,,,
100m hurdles,F,12.59,Annelie Ehrhardt,,1972-09-08,,,,,,,,,
100m hurdles,F,12.48,Grażyna Rabsztyn,,1978-06-10,,,,,,,,,
100m hurdles,F,12.36,Grażyna Rabsztyn,,1980-06-13,,,,,,,,,
100m hurdles,F,12.35,Yordanka Donkova,,1986-08-17,,,,,,,,,
100m hurdles,F,12.29,Yordanka Donkova,,1986-08-17,,,,,,,,,
100m hurdles,F,12.26,Yordanka Donkova,,1986-09-07,,,,,,,,,
100m hurdles,F,12.25,Ginka Zagorcheva,,1987-08-08,,,,,,,,,
100m hurdles,F,12.21,Yordanka Donkova,,1988-08-20,,,,,,,,,
100m hurdles,F,12.2,Kendra Harrison,,2016-07-22,,,,,,,,,
100m hurdles,F,12.12,Tobi Amusan,,2022-07-24,,,,,,,,,
400m hurdles,F,56.51,Krystyna Kacperczyk (POL),Augsburg[1],"July 13, 1974",,,,,,,,,
400m hurdles,F,55.74,Tatyana Storozheva (URS),Chemnitz[1],"June 26, 1977",,,,,,,,,
400m hurdles,F,55.63,Karin Rossley (GDR),Helsinki[1],"August 13, 1977",,,,,,,,,
400m hurdles,F,55.44,Krystyna Kacperczyk (POL),Berlin[1],"August 18, 1978",,,,,,,,,
400m hurdles,F,55.31,Tatyana Zelentsova (URS),Podolsk[1],"August 19, 1978",,,,,,,,,
400m hurdles,F,54.89,Tatyana Zelentsova (URS),Prague[1],"September 2, 1978",,,,,,,,,
400m hurdles,F,54.78,Marina Makeyeva (URS),Moscow[1],"July 27, 1979",,,,,,,,,
400m hurdles,F,54.28,Karin Rossley (GDR),Jena[1],"May 17, 1980",,,,,,,,,
400m hurdles,F,54.02,Anna Ambrazienė (URS),Moscow[1],"June 11, 1983",,,,,,,,,
400m hurdles,F,53.58,Margarita Ponomaryova (URS),Kiev[1],"June 22, 1984",,,,,,,,,
400m hurdles,F,53.55,Sabine Busch (GDR),Berlin[1],"September 22, 1985",,,,,,,,,
400m hurdles,F,53.32,Marina Stepanova (URS),Stuttgart[1],"August 30, 1986",,,,,,,,,
400m hurdles,F,52.94,Marina Stepanova (URS),Tashkent[1],"September 19, 1986",,,,,,,,,
400m hurdles,F,52.74,Sally Gunnell (GBR),Stuttgart[1],"August 19, 1993",,,,,,,,,
400m hurdles,F,52.61,Kim Batten (USA),Gothenburg[1],"August 11, 1995",,,,,,,,,
400m hurdles,F,52.34,Yuliya Pechonkina (RUS),Tula[1],"August 8, 2003",,,,,,,,,
400m hurdles,F,52.2,Dalilah Muhammad (USA),Des Moines,"July 28, 2019",,,,,,,,,
400m hurdles,F,52.16,Dalilah Muhammad (USA),Doha,"October 4, 2019",,,,,,,,,
400m hurdles,F,51.9,Sydney McLaughlin (USA),Eugene,"June 27, 2021",,,,,,,,,
400m hurdles,F,51.46,Sydney McLaughlin (USA),Tokyo,"August 4, 2021",,,,,,,,,
400m hurdles,F,51.41,Sydney McLaughlin (USA),Eugene[2],"June 25, 2022",,,,,,,,,
400m hurdles,F,50.68,Sydney McLaughlin (USA),Eugene,"July 22, 2022",,,,,,,,,
high jump,F,1.46 m (4 ft 9+1⁄4 in),Nancy Voorhees (USA),Simsbury[1],20 May 1922,,,,,,,,,
high jump,F,1.485 m (4 ft 10+1⁄4 in),Elizabeth Stine (USA),Leonia[1],26 May 1923,,,,,,,,,
high jump,F,1.485 m (4 ft 10+1⁄4 in),Sophie Eliott-Lynn (GBR),Brentwood[1],6 August 1923,,,,,,,,,
high jump,F,1.524 m (5 ft 0 in),Phyllis Green (GBR),London[1],11 July 1925,,,,,,,,,
high jump,F,1.552 m (5 ft 1 in),Phyllis Green (GBR),London[1],2 August 1926,,,,,,,,,
high jump,F,1.58 m (5 ft 2 in),Ethel Catherwood (CAN),Regina[1],6 September 1926,,,,,,,,,
high jump,F,1.58 m (5 ft 2 in),Lien Gisolf (NED),Brussels[1],3 July 1928,,,,,,,,,
high jump,F,1.595 m (5 ft 2+3⁄4 in),Ethel Catherwood (CAN),Amsterdam[1],5 August 1928,,,,,,,,,
high jump,F,1.605 m (5 ft 3 in),Lien Gisolf (NED),Maastricht[1],18 August 1929,,,,,,,,,
high jump,F,1.62 m (5 ft 3+3⁄4 in),Lien Gisolf (NED),Amsterdam[1],12 June 1932,,,,,,,,,
high jump,F,1.65 m (5 ft 4+3⁄4 in),Jean Shiley (USA),Los Angeles[1],7 August 1932,,,,,,,,,
high jump,F,1.65 m (5 ft 4+3⁄4 in),Mildred Didrikson (USA),Los Angeles[1],7 August 1932,,,,,,,,,
high jump,F,1.66 m (5 ft 5+1⁄4 in),Dorothy Odam (GBR),Brentwood[1],29 May 1939,,,,,,,,,
high jump,F,1.66 m (5 ft 5+1⁄4 in),Esther van Heerden (South Africa),Stellenbosch[1],29 March 1941,,,,,,,,,
high jump,F,1.66 m (5 ft 5+1⁄4 in),Ilsebill Pfenning (SUI),Lugano[1],27 July 1941,,,,,,,,,
high jump,F,1.71 m (5 ft 7+1⁄4 in),Fanny Blankers-Koen (NED),Amsterdam[1],30 May 1943,,,,,,,,,
high jump,F,1.72 m (5 ft 7+1⁄2 in),Sheila Lerwill (GBR),London[1],7 July 1951,,,,,,,,,
high jump,F,1.73 m (5 ft 8 in),Aleksandra Chudina (URS),Kiev[1],22 May 1954,,,,,,,,,
high jump,F,1.74 m (5 ft 8+1⁄2 in),Thelma Hopkins (GBR),Belfast[1],5 May 1956,,,,,,,,,
high jump,F,1.75 m (5 ft 8+3⁄4 in),Iolanda Balaș (ROM),Bucharest[1],14 July 1956,,,,,,,,,
high jump,F,1.76 m (5 ft 9+1⁄4 in),Mildred McDaniel (USA),Melbourne[1],1 December 1956,,,,,,,,,
high jump,F,1.76 m (5 ft 9+1⁄4 in),Iolanda Balaş (ROM),Bucharest[1],13 October 1957,,,,,,,,,
high jump,F,1.77 m (5 ft 9+1⁄2 in),Zheng Fengrong (CHN),Beijing[1],17 November 1957,,,,,,,,,
high jump,F,1.78 m (5 ft 10 in),Iolanda Balaş (ROM),Bucharest[1],7 June 1958,,,,,,,,,
high jump,F,1.80 m (5 ft 10+3⁄4 in),Iolanda Balaş (ROM),Cluj-Napoca[1],22 June 1958,,,,,,,,,
high jump,F,1.81 m (5 ft 11+1⁄4 in),Iolanda Balaş (ROM),Poiana Brasov[1],31 July 1958,,,,,,,,,
high jump,F,1.82 m (5 ft 11+1⁄2 in),Iolanda Balaş (ROM),Bucharest[1],4 October 1958,,,,,,,,,
high jump,F,1.83 m (6 ft 0 in),Iolanda Balaş (ROM),Bucharest[1],18 October 1958,,,,,,,,,
high jump,F,1.84 m (6 ft 1⁄4 in),Iolanda Balaş (ROM),Bucharest[1],21 September 1959,,,,,,,,,
high jump,F,1.85 m (6 ft 3⁄4 in),Iolanda Balaş (ROM),Bucharest[1],6 June 1960,,,,,,,,,
high jump,F,1.86 m (6 ft 1 in),Iolanda Balaş (ROM),Bucharest[1],10 July 1960,,,,,,,,,
high jump,F,1.87 m (6 ft 1+1⁄2 in),Iolanda Balaş (ROM),Bucharest[1],15 April 1961,,,,,,,,,
high jump,F,1.88 m (6 ft 2 in),Iolanda Balaş (ROM),Warsaw[1],18 June 1961,,,,,,,,,
high jump,F,1.90 m (6 ft 2+3⁄4 in),Iolanda Balaş (ROM),Budapest[1],8 July 1961,,,,,,,,,
high jump,F,1.91 m (6 ft 3 in),Iolanda Balaş (ROM),Sofia[1],16 July 1961,,,,,,,,,
high jump,F,1.92 m (6 ft 3+1⁄2 in),Ilona Gusenbauer (AUT),Vienna[1],4 September 1971,,,,,,,,,
high jump,F,1.92 m (6 ft 3+1⁄2 in),Ulrike Meyfarth (FRG),Munich[1],4 September 1972,,,,,,,,,
high jump,F,1.94 m (6 ft 4+1⁄4 in),Yordanka Blagoeva (BUL),Zagreb[1],24 September 1972,,,,,,,,,
high jump,F,1.94 m (6 ft 4+1⁄4 in),Rosemarie Witschas (GDR),Berlin[1],24 August 1974,,,,,,,,,
high jump,F,1.95 m (6 ft 4+3⁄4 in),Rosemarie Ackermann (GDR),Rome[1],8 September 1974,,,,,,,,,
high jump,F,1.96 m (6 ft 5 in),Rosemarie Ackermann (GDR),Dresden[1],8 May 1976,,,,,,,,,
high jump,F,1.96 m (6 ft 5 in),Rosemarie Ackermann (GDR),Dresden[1],3 July 1977,,,,,,,,,
high jump,F,1.97 m (6 ft 5+1⁄2 in),Rosemarie Ackermann (GDR),Helsinki[1],14 August 1977,,,,,,,,,
high jump,F,1.97 m (6 ft 5+1⁄2 in),Rosemarie Ackermann (GDR),West Berlin[1],26 August 1977,,,,,,,,,
high jump,F,2.00 m (6 ft 6+1⁄2 in),Rosemarie Ackermann (GDR),West Berlin[1],26 August 1977,,,,,,,,,
high jump,F,2.01 m (6 ft 7 in),Sara Simeoni (ITA),Brescia[1],4 August 1978,,,,,,,,,
high jump,F,2.01 m (6 ft 7 in),Sara Simeoni (ITA),Prague[1],31 August 1978,,,,,,,,,
high jump,F,2.02 m (6 ft 7+1⁄2 in),Ulrike Meyfarth (FRG),Athens[1],8 September 1982,,,,,,,,,
high jump,F,2.03 m (6 ft 7+3⁄4 in),Ulrike Meyfarth (FRG),London[1],21 August 1983,,,,,,,,,
high jump,F,2.03 m (6 ft 7+3⁄4 in),Tamara Bykova (URS),London[1],21 August 1983,,,,,,,,,
high jump,F,2.04 m (6 ft 8+1⁄4 in),Tamara Bykova (URS),Pisa[1],25 August 1983,,,,,,,,,
high jump,F,2.05 m (6 ft 8+1⁄2 in),Tamara Bykova (URS),Kiev[1],22 June 1984,,,,,,,,,
high jump,F,2.07 m (6 ft 9+1⁄4 in),Lyudmila Andonova (BUL),East Berlin[1],20 July 1984,,,,,,,,,
high jump,F,2.07 m (6 ft 9+1⁄4 in),Stefka Kostadinova (BUL),Sofia[1],25 May 1986,,,,,,,,,
high jump,F,2.08 m (6 ft 9+3⁄4 in),Stefka Kostadinova (BUL),Sofia[1],31 May 1986,,,,,,,,,
high jump,F,2.09 m (6 ft 10+1⁄4 in),Stefka Kostadinova (BUL),Rome[1],30 August 1987,,,,,,,,,
pole vault,F,4.05 m (13 ft 3+1⁄4 in)[2],Sun Caiyun,"Nanjing, China",21 May 1992,,,,,,,,,
pole vault,F,4.08 m (13 ft 4+1⁄2 in)[2],Sun Caiyun,"Taiyuan, China",18 May 1995,,,,,,,,,
pole vault,F,4.08 m (13 ft 4+1⁄2 in)[2],Zhong Guiqing,"Taiyuan, China",18 May 1995,,,,,,,,,
pole vault,F,4.10 m (13 ft 5+1⁄4 in)[2],Daniela Bártová,"Ljubljana, Slovenia",21 May 1995,,,,,,,,,
pole vault,F,4.12 m (13 ft 6 in)[2],Daniela Bártová,"Duisburg, Germany",18 June 1995,,,,,,,,,
pole vault,F,4.13 m (13 ft 6+1⁄2 in)[2],Daniela Bártová,"Wesel, Germany",24 June 1995,,,,,,,,,
pole vault,F,4.14 m (13 ft 6+3⁄4 in)[2],Daniela Bártová,"Gateshead, England",2 July 1995,,,,,,,,,
pole vault,F,4.15 m (13 ft 7+1⁄4 in)[2],Daniela Bártová,"Ostrava, Czech Republic",6 July 1995,,,,,,,,,
pole vault,F,4.16 m (13 ft 7+3⁄4 in)[2],Daniela Bártová,"Feldkirch, Austria",14 July 1995,,,,,,,,,
pole vault,F,4.17 m (13 ft 8 in)[2],Daniela Bártová,"Feldkirch, Austria",15 July 1995,,,,,,,,,
pole vault,F,4.18 m (13 ft 8+1⁄2 in)[2],Andrea Müller,"Zittau, Germany",5 August 1995,,,,,,,,,
pole vault,F,4.20 m (13 ft 9+1⁄4 in)[2],Daniela Bártová,"Köln, Germany",18 August 1995,,,,,,,,,
pole vault,F,4.21 m (13 ft 9+1⁄2 in)[2],Daniela Bártová,"Linz, Austria",22 August 1995,,,,,,,,,
pole vault,F,4.22 m (13 ft 10 in)[2],Daniela Bártová,"Salgótarján, Hungary",11 September 1995,,,,,,,,,
pole vault,F,4.25 m (13 ft 11+1⁄4 in)[2],Emma George,"Melbourne, Australia",30 November 1995,,,,,,,,,
pole vault,F,4.28 m (14 ft 1⁄2 in)[2],Emma George,"Perth, Australia",17 December 1995,,,,,,,,,
pole vault,F,4.30 m (14 ft 1+1⁄4 in)[2],Emma George,"Perth, Australia",28 January 1996,,,,,,,,,
pole vault,F,4.41 m (14 ft 5+1⁄2 in)[2],Emma George,"Perth, Australia",28 January 1996,,,,,,,,,
pole vault,F,4.42 m (14 ft 6 in)[2],Emma George,"Reims, France",29 June 1996,,,,,,,,,
pole vault,F,4.45 m (14 ft 7 in)[2],Emma George,"Sapporo, Japan",14 July 1996,,,,,,,,,
pole vault,F,4.50 m (14 ft 9 in)[2],Emma George,"Melbourne, Australia",8 February 1997,,,,,,,,,
pole vault,F,4.55 m (14 ft 11 in)[2],Emma George,"Melbourne, Australia",20 February 1997,,,,,,,,,
pole vault,F,4.57 m (14 ft 11+3⁄4 in)[2],Emma George,"Auckland, New Zealand",21 February 1998,,,,,,,,,
pole vault,F,4.58 m (15 ft 1⁄4 in)[2],Emma George,"Melbourne, Australia",14 March 1998,,,,,,,,,
pole vault,F,4.59 m (15 ft 1⁄2 in)[2],Emma George,"Brisbane, Australia",21 March 1998,,,,,,,,,
pole vault,F,4.60 m (15 ft 1 in)[2],Emma George,"Sydney, Australia",20 February 1999,,,,,,,,,
pole vault,F,4.60 m (15 ft 1 in)[2],Stacy Dragila,"Sevilla, Spain",21 August 1999,,,,,,,,,
pole vault,F,i 4.60 m (15 ft 1 in)[2][5],Stacy Dragila,"Pocatello, U.S.",19 Feb 2000,,,,,,,,,
pole vault,F,i 4.62 m (15 ft 1+3⁄4 in)[2][5],Stacy Dragila,"Atlanta, U.S.",3 Mar 2000,,,,,,,,,
pole vault,F,4.63 m (15 ft 2+1⁄4 in)[2],Stacy Dragila,"Sacramento, U.S.",23 July 2000,,,,,,,,,
pole vault,F,i 4.63 m (15 ft 2+1⁄4 in)[2][5],Stacy Dragila,"New York City, U.S.",2 Feb 2001,,,,,,,,,
pole vault,F,i 4.64 m (15 ft 2+1⁄2 in) [2][5],Svetlana Feofanova,"Dortmund, Germany",11 February 2001,,,,,,,,,
pole vault,F,i 4.66 m (15 ft 3+1⁄4 in) [2][5],Stacy Dragila,"Pocatello, U.S.",17 Feb 2001,,,,,,,,,
pole vault,F,i 4.70 m (15 ft 5 in) [2][5],Stacy Dragila,"Pocatello, U.S.",17 Feb 2001,,,,,,,,,
pole vault,F,4.70 m (15 ft 5 in)[2],Stacy Dragila,"Pocatello, U.S.",27 April 2001,,,,,,,,,
pole vault,F,4.71 m (15 ft 5+1⁄4 in)[2],Stacy Dragila,"Stanford, U.S.",9 June 2001,,,,,,,,,
pole vault,F,4.81 m (15 ft 9+1⁄4 in)[2],Stacy Dragila,"Stanford, U.S.",9 June 2001,,,,,,,,,
pole vault,F,4.82 m (15 ft 9+3⁄4 in)[2],Yelena Isinbayeva,"Gateshead, England",13 July 2003,,,,,,,,,
pole vault,F,i 4.83 m (15 ft 10 in)[2][5],Yelena Isinbayeva,"Donets'k, Ukraine",15 February 2004,,,,,,,,,
pole vault,F,i 4.85 m (15 ft 10+3⁄4 in)[2][5],Svetlana Feofanova[6],"Athens, Greece",22 February 2004,,,,,,,,,
pole vault,F,i 4.86 m (15 ft 11+1⁄4 in)[2][5],Yelena Isinbayeva,"Budapest, Hungary",6 March 2004,,,,,,,,,
pole vault,F,4.87 m (15 ft 11+1⁄2 in)[2],Yelena Isinbayeva,"Gateshead, England",27 June 2004,,,,,,,,,
pole vault,F,4.88 m (16 ft 0 in)[2],Svetlana Feofanova,"Heraklion, Greece",4 July 2004,,,,,,,,,
pole vault,F,4.89 m (16 ft 1⁄2 in)[2],Yelena Isinbayeva,"Birmingham, England",25 July 2004,,,,,,,,,
pole vault,F,4.90 m (16 ft 3⁄4 in)[2],Yelena Isinbayeva,"London, England",30 July 2004,,,,,,,,,
pole vault,F,4.91 m (16 ft 1+1⁄4 in)[2],Yelena Isinbayeva,"Athens, Greece",24 August 2004,,,,,,,,,
pole vault,F,4.92 m (16 ft 1+1⁄2 in)[2],Yelena Isinbayeva,"Brussels, Belgium",3 September 2004,,,,,,,,,
pole vault,F,4.93 m (16 ft 2 in)[2],Yelena Isinbayeva,"Lausanne, Switzerland",5 July 2005,,,,,,,,,
pole vault,F,4.95 m (16 ft 2+3⁄4 in)[2],Yelena Isinbayeva,"Madrid, Spain",16 July 2005,,,,,,,,,
pole vault,F,4.96 m (16 ft 3+1⁄4 in)[2],Yelena Isinbayeva,"London, England",22 July 2005,,,,,,,,,
pole vault,F,5.00 m (16 ft 4+3⁄4 in)[2],Yelena Isinbayeva,"London, England",22 July 2005,,,,,,,,,
pole vault,F,5.01 m (16 ft 5 in)[2],Yelena Isinbayeva,"Helsinki, Finland",9 August 2005,,,,,,,,,
pole vault,F,5.03 m (16 ft 6 in)[2],Yelena Isinbayeva,"Rome, Italy",11 July 2008,,,,,,,,,
pole vault,F,5.04 m (16 ft 6+1⁄4 in)[2],Yelena Isinbayeva,"Fontvieille, Monaco",29 July 2008,,,,,,,,,
pole vault,F,5.05 m (16 ft 6+3⁄4 in)[2],Yelena Isinbayeva,"Beijing, China",18 August 2008,,,,,,,,,
pole vault,F,5.06 m (16 ft 7 in)[7],Yelena Isinbayeva,"Zürich, Switzerland",28 August 2009,,,,,,,,,
long jump,F,5.16 m (16 ft 11 in),Marie Mejzlíková II (TCH),"Prague, Czechoslovakia",6 August 1922[1],,,,,,,,,
long jump,F,5.30 m (17 ft 4+1⁄2 in),Marie Mejzlíková II (TCH),"Prague, Czechoslovakia",23 September 1923[1],,,,,,,,,
long jump,F,5.485 m (17 ft 11+3⁄4 in),Muriel Gunn (GBR),"London, United Kingdom",2 August 1926[1],,,,,,,,,
long jump,F,5.50 m (18 ft 1⁄2 in),Kinue Hitomi (JPN),"Gothenburg, Sweden",28 August 1926[1],,,,,,,,,
long jump,F,5.575 m (18 ft 3+1⁄4 in),Muriel Gunn (GBR),"London, United Kingdom",1 August 1927[1],,,,,,,,,
long jump,F,5.98 m (19 ft 7+1⁄4 in),Kinue Hitomi (JPN),"Osaka, Japan",20 May 1928[1],,,,,,,,,
long jump,F,6.12 m (20 ft 3⁄4 in),Christel Schulz (GER),"Berlin, Nazi Germany",30 July 1939[1],,,,,,,,,
long jump,F,6.25 m (20 ft 6 in),Fanny Blankers-Koen (NED),"Leiden, Netherlands",19 September 1943[1],,,,,,,,,
long jump,F,6.28 m (20 ft 7 in),Yvette Williams (NZL),"Gisborne, New Zealand",20 February 1954[1],,,,,,,,,
long jump,F,6.28 m (20 ft 7 in),Galina Vinogradova (URS),"Moscow, Soviet Union",11 September 1955[1],,,,,,,,,
long jump,F,6.31 m (20 ft 8+1⁄4 in),Galina Vinogradova (URS),"Tbilisi, Soviet Union",18 November 1955[1],,,,,,,,,
long jump,F,6.35 m (20 ft 10 in),Elżbieta Krzesińska (POL),"Budapest, Hungary",20 August 1956[1],,,,,,,,,
long jump,F,6.35 m (20 ft 10 in),Elżbieta Krzesińska (POL),"Melbourne, Australia",27 November 1956[1],,,,,,,,,
long jump,F,6.40 m (20 ft 11+3⁄4 in),Hildrun Claus (GDR),"Erfurt, East Germany",7 August 1960[1],,,,,,,,,
long jump,F,6.42 m (21 ft 3⁄4 in),Hildrun Claus (GDR),"East Berlin, East Germany",23 June 1961[1],,,,,,,,,
long jump,F,6.48 m (21 ft 3 in),Tatyana Shchelkanova (URS),"Moscow, Soviet Union",16 July 1961[1],,,,,,,,,
long jump,F,6.53 m (21 ft 5 in),Tatyana Shchelkanova (URS),"Leipzig, East Germany",10 June 1962[1],,,,,,,,,
long jump,F,6.70 m (21 ft 11+3⁄4 in),Tatyana Shchelkanova (URS),"Moscow, Soviet Union",4 July 1964[1],,,,,,,,,
long jump,F,6.76 m (22 ft 2 in),Mary Rand (GBR),"Tokyo, Japan",14 October 1964[1],,,,,,,,,
long jump,F,6.82 m (22 ft 4+1⁄2 in) A,Viorica Viscopoleanu (ROU),"Mexico City, Mexico",14 October 1968[1],,,,,,,,,
long jump,F,6.84 m (22 ft 5+1⁄4 in),Heide Rosendahl (FRG),"Torino, Italy",3 September 1970[1],,,,,,,,,
long jump,F,6.92 m (22 ft 8+1⁄4 in),Angela Voigt (GDR),"Dresden, East Germany",9 May 1976[1],,,,,,,,,
long jump,F,6.99 m (22 ft 11 in),Siegrun Siegl (GDR),"Dresden, East Germany",19 May 1976[1],,,,,,,,,
long jump,F,7.07 m (23 ft 2+1⁄4 in),Vilma Bardauskiené (URS),"Kishinyov, Soviet Union",18 August 1978[1],,,,,,,,,
