event,gender,time_distance,athlete,location,date,,,,,,,,,
marathon,M,2:05:38,Khalid Khannouchi,London Marathon,"April 14, 2002",,,,,,,,,
marathon,M,2:04:55,Paul Tergat,Berlin Marathon,"September 28, 2003",,,,,,,,,
marathon,M,2:04:26,Haile Gebrselassie,Berlin Marathon,"September 30, 2007",,,,,,,,,
marathon,M,2:03:59,Haile Gebrselassie,Berlin Marathon,"September 28, 2008",,,,,,,,,
marathon,M,2:03:38,Patrick Makau,Berlin Marathon,"September 25, 2011",,,,,,,,,
marathon,M,2:03:23,Wilson Kipsang,Berlin Marathon,"September 29, 2013",,,,,,,,,
marathon,M,2:02:57,Dennis Kimetto,Berlin Marathon,"September 28, 2014",,,,,,,,,
marathon,M,2:01:39,Eliud Kipchoge,Berlin Marathon,"September 16, 2018",,,,,,,,,
marathon,M,2:01:09,Eliud Kipchoge,Berlin Marathon,"September 25, 2022",,,,,,,,,
marathon,M,2:00:35,Kelvin Kiptum,Chicago Marathon,"October 8, 2023",,,,,,,,,
3000m steeplechase,M,9.49.8,Josef Ternström (SWE),Malmö,1914-07-04[6],,,,,,,,,
3000m steeplechase,M,9.36.0 NWJ,Ernesto Ambrosini (ITA),Paris,1923-06-09[6],,,,,,,,,
3000m steeplechase,M,9.33.4 NWJ,Paul Bontemps (FRA),Paris,1924-06-09[6],,,,,,,,,
3000m steeplechase,M,9.31.2 NWJ,Félix Roman (FRA),Marselle,1925-06-07[6],,,,,,,,,
3000m steeplechase,M,9.25.2,Toivo Loukola (FIN),Helsinki,1928-07-09[6],,,,,,,,,
3000m steeplechase,M,9.21.8,Toivo Loukola (FIN),Amsterdam,1928-08-04[6],,,,,,,,,
3000m steeplechase,M,9.14.5,Joseph McCluskey (USA),Stanford,1932-07-16[6],,,,,,,,,
3000m steeplechase,M,9.09.4,Volmari Iso-Hollo (FIN),Lahti,1933-05-28[6],,,,,,,,,
3000m steeplechase,M,9.08.2,Harold Manning (USA),New York City,1936-07-12[6],,,,,,,,,
3000m steeplechase,M,9.03.8,Volmari Iso-Hollo (FIN),Berlin,1936-08-08[6],,,,,,,,,
3000m steeplechase,M,9.03.4,Erik Elmsäter (SWE),Ostersund,1943-08-22[6],,,,,,,,,
3000m steeplechase,M,8.59.6,Erik Elmsäter (SWE),Stockholm,1944-08-04[6],,,,,,,,,
3000m steeplechase,M,8.49.8,Vladimir Kazantsev (URS),Moscow,1951-07-10[6],,,,,,,,,
3000m steeplechase,M,8.48.6,Vladimir Kazantsev (URS),Kiev,1952-06-12[6],,,,,,,,,
3000m steeplechase,M,8.45.4,Horace Ashenfelter (USA),Helsinki,1952-07-25[6],,,,,,,,,
3000m steeplechase,M,8.44.4,Olavi Rinteenpää (FIN),Helsinki,1953-07-02[6],,,,,,,,,
3000m steeplechase,M,8:49.6,Sándor Rozsnyói (HUN),Bern,1954-08-28,,,,,,,,,
3000m steeplechase,M,8:47.8,Pentti Karvonen (FIN),Helsinki,1955-07-01,,,,,,,,,
3000m steeplechase,M,8:45.4,Pentti Karvonen (FIN),Oslo,1955-07-15,,,,,,,,,
3000m steeplechase,M,8:45.4,Vasiliy Vlasenko (URS),Moscow,1955-08-18,,,,,,,,,
3000m steeplechase,M,8:41.2,Jerzy Chromik (POL),Brno,1955-08-31,,,,,,,,,
3000m steeplechase,M,8:40.2,Jerzy Chromik (POL),Budapest,1955-09-11,,,,,,,,,
3000m steeplechase,M,8:39.8,Semyon Rzhishchin (URS),Moscow,1956-08-14,,,,,,,,,
3000m steeplechase,M,8:35.6,Sándor Rozsnyói (HUN),Budapest,1956-09-16,,,,,,,,,
3000m steeplechase,M,8:35.5,Semyon Rzhishchin (URS),Tallinn,1958-07-21,,,,,,,,,
3000m steeplechase,M,8:32.0,Jerzy Chromik (POL),Warsaw,1958-08-02,,,,,,,,,
3000m steeplechase,M,8:31.4,Zdzisław Krzyszkowiak (POL),Tula,1960-06-26,,,,,,,,,
3000m steeplechase,M,8:31.2,Grigoriy Taran (URS),Kyiv,1961-05-28,,,,,,,,,
3000m steeplechase,M,8:30.4,Zdzisław Krzyszkowiak (POL),Wałcz,1961-08-10,,,,,,,,,
3000m steeplechase,M,8:29.6,Gaston Roelants (BEL),Leuven,1963-09-07,,,,,,,,,
3000m steeplechase,M,8:26.4,Gaston Roelants (BEL),Leuven,1965-08-07,,,,,,,,,
3000m steeplechase,M,8:24.2,Jouko Kuha (FIN),Stockholm,1968-07-17,,,,,,,,,
3000m steeplechase,M,8:22.2,Vladimir Dudin (URS),Kyiv,1969-08-19,,,,,,,,,
3000m steeplechase,M,8:22.0,Kerry O'Brien (AUS),Berlin,1970-07-04,,,,,,,,,
3000m steeplechase,M,8:20.8,Anders Gärderud (SWE),Helsinki,1972-09-14,,,,,,,,,
3000m steeplechase,M,8:20.8,Ben Jipcho (KEN),Lagos,1973-01-15,,,,,,,,,
3000m steeplechase,M,8:19.8,Ben Jipcho (KEN),Helsinki,1973-06-19,,,,,,,,,
3000m steeplechase,M,8:14.0,Ben Jipcho (KEN),Helsinki,1973-06-27,,,,,,,,,
3000m steeplechase,M,8:10.4,Anders Gärderud (SWE),Oslo,1975-06-25,,,,,,,,,
3000m steeplechase,M,8:09.8,Anders Gärderud (SWE),Stockholm,1975-07-01,,,,,,,,,
3000m steeplechase,M,8:08.0,Anders Gärderud (SWE),Montreal,1976-07-28,,,,,,,,,
